save_id,value,trackName
bi8wnhce5hjd7qbkh587hw25l5polgnt,A - instruments are too loud. B - already better.,midnights_fyp_mix_p3
lt601o74ixkhkj4lzjh2s2k5mctns54h,"Lots of low mids in A and fighting for space. Lot more clarity in selected, each element has their own space in the spectrum and feels clearer.",midnights_fyp_mix_p3
8sqn5b0nyc2jv91n3vkgud8fphmczft4,"Vocals better in selected, but guitars and drums more forward in opposite.",midnights_user_mix_p3
f2nrem6sa71z0v5th10kmf29tz1dsldo,"Selected works much better low end wise than A, snare also sounds better.",midnights_fyp_mix_p3
0aqdvgro7qjjc7hkhn60m7xjwx5yoqvo,B just sounded brighter.,midnights_user_mix_p3
nz2ae3ljcdcc0gi1c71wwmf9uiolr9tp,"Chosen had better snare rattle, vocals were a bit thin on opposite. ""EQ is so personal - I don't like song so much and potentially the EQ is the best kind of thing for it.""",midnights_fyp_mix_p3
9muwh3ur2ms2k1wnhubi1n2b47yygj8k,"Would've said opposite bc quite like piano, but vocals felt buried on it compared to B with piano.",midnights_fyp_mix_p3
rw4oua9rip2ucujlfmxan74iz0cfab5g,"Closer that time, liked both. B slightly stronger, but not much else to say.",midnights_fyp_mix_p3
o7u4f0y6ueshkwxo127lzbzx1az654ny,,midnights_fyp_mix_p3
c4zm85wbbgwfsyf63lzyydbtldjcxrfz,First one felt a little bit thin.,midnights_fyp_mix_p3
